Project Name,country,PVSystem Capciity [kWp],CAPEX [USD],Customer Count (Residential),Customer Count (C&I Total),Customer Count (Businesses),Customer Count (Religious & Insitutions),Customer Count (Clinics),Customer Count (Schools),Customer Count (Total)
Bayelsa 1,Nigeria,67.32,323701,343,15,10,4,1,0,353
Cross River 1,Nigeria,9.36,171150,226,9,1,6,1,1,190
Cross River 2,Nigeria,18.72,218907,259,6,1,5,0,0,256
Cross River 3,Nigeria,12.48,187441,196,15,11,4,0,0,189
Awka Ibom,Nigeria,28.08,336197,369,31,8,21,1,1,400
Turkana 1,Kenya,541.4,967872,2303,508,441,55,8,4,2756
Turkana 2,Kenya,20.12,181324,103,34,24,8,1,1,137
Turkana 3,Kenya,22,172366,73,45,35,5,2,3,118
Turkana 4,Kenya,36.9,225445,168,30,11,4,3,12,198
Turkana 5,Kenya,51.3,316887,74,45,31,5,1,8,119
Turkana 6,Kenya,37,311220,274,55,38,10,3,4,329
Turkana 7,Kenya,22.5,153918,52,21,17,2,1,1,73
Turkana 8,Kenya,17,156168,52,11,8,1,1,1,63
Turkana 9,Kenya,37,313590,184,30,10,9,2,9,214
Siaya 1,Kenya,23.4,197853,328,77,59,13,3,2,405
Marsabit,Kenya,27.6,234403,165,30,19,5,1,5,195
Kajiado,Kenya,6.24,64136,65,7,5,2,0,0,72
Bayelsa 2,Nigeria,67.32,346464,289,31,16,11,2,2,320
Cross River 4,Nigeria,14.04,198777,263,17,6,9,1,1,280
Siaya 2,Kenya,12.48,108742,136,11,6,2,1,2,145
Rivers,Nigeria,18.72,183502,262,18,12,5,1,0,280
Homa Bay,Kenya,20.45,142561,225,66,56,8,1,1,291
